"Parameter","Rhat","Model"
"b_Intercept",1,"Pod"
"b_MicrohabitatHydrallmania",1,"Pod"
"b_MicrohabitatLafoea",1,"Pod"
"b_MicrohabitatOther_Hydroids",1,"Pod"
"b_MicrohabitatSertulariidae",1,"Pod"
"b_MicrohabitatSertulariidae_Bryozoa",1,"Pod"
"b_Nudibranch1",1,"Pod"
"b_MicrohabitatHydrallmania:Nudibranch1",1,"Pod"
"b_MicrohabitatLafoea:Nudibranch1",1,"Pod"
"b_MicrohabitatOther_Hydroids:Nudibranch1",1,"Pod"
"b_MicrohabitatSertulariidae:Nudibranch1",1,"Pod"
"b_MicrohabitatSertulariidae_Bryozoa:Nudibranch1",1,"Pod"
